file_size_mb,hour_of_day,transfers_last_hour,mfa_failed_attempts,failed_login_attempts,is_unusual_hour,high_risk_file_type,archive_file_type,integrity_status,unauthorized_attempt,encryption_time_ms,decryption_time_ms,ecdh_time_ms,rsa_key_wrap_time_ms,transfer_status,is_anomaly,anomaly_reason,anomaly_level
4.39,13,1,0,0,0,0,0,verified,0,13.863,10.431,2.36,1.219,completed,0,,none
35.39,13,1,0,0,0,0,0,verified,0,57.991,53.126,1.894,4.401,completed,0,,none
33.68,21,1,0,1,0,0,0,verified,0,30.27,28.074,2.374,3.914,completed,0,,none
3.07,17,2,0,0,0,0,0,verified,0,11.699,11.722,2.887,4.714,completed,0,,none
805.16,23,7,2,5,1,0,1,failed,0,1616.444,1657.065,1.565,1.322,integrity_failed,1,Off-hour massive transfer; repeated auth failures,medium
979.39,1,5,3,9,1,1,1,failed,0,1657.718,1674.3,4.06,5.744,integrity_failed,1,Off-hour massive transfer; repeated auth failures,critical
12.32,13,3,0,0,0,0,0,verified,0,25.222,18.337,2.99,1.721,completed,0,,none
11.84,15,3,0,0,0,0,0,verified,0,19.502,13.937,1.087,1.347,completed,0,,none
49.2,17,2,0,0,0,0,0,verified,0,44.985,35.937,0.685,2.173,completed,0,,none
22.48,17,0,0,0,0,0,1,verified,0,36.969,30.921,1.937,4.564,completed,0,,none
24.19,19,3,0,0,0,0,0,verified,0,36.566,20.399,2.218,3.073,completed,0,,none
726.14,23,5,3,6,1,1,1,verified,1,1550.559,1359.336,5.565,7.414,blocked,1,Off-hour massive transfer; repeated auth failures,critical
29.23,17,2,0,1,0,0,1,verified,0,33.236,33.636,1.771,4.012,completed,0,,none
3.94,13,2,0,0,0,0,1,verified,0,13.523,12.524,2.942,2.912,completed,0,,none
37.7,12,3,0,0,0,0,1,verified,0,65.062,33.879,2.16,1.383,completed,0,,none
783.72,22,14,5,6,0,0,1,failed,0,1252.79,1729.079,5.994,1.818,completed,1,Off-hour massive transfer; repeated auth failures,high
775.44,0,15,2,6,1,1,1,verified,0,937.545,1642.37,2.932,4.941,completed,1,Off-hour massive transfer; repeated auth failures,medium
38.69,16,2,0,0,0,0,1,verified,0,41.477,28.702,2.442,4.355,completed,0,,none
