file_size_mb,hour_of_day,transfers_last_hour,mfa_failed_attempts,failed_login_attempts,is_unusual_hour,high_risk_file_type,archive_file_type,integrity_status,unauthorized_attempt,encryption_time_ms,decryption_time_ms,ecdh_time_ms,rsa_key_wrap_time_ms,transfer_status,is_anomaly,anomaly_reason,anomaly_level
927.94,1,5,5,5,1,0,1,verified,1,1752.705,955.887,5.719,5.398,completed,1,Off-hour massive transfer; repeated auth failures,high
16.62,12,3,0,0,0,0,0,verified,0,32.477,28.439,0.732,3.113,completed,0,,none
39.3,9,3,0,1,0,0,1,verified,0,31.36,50.117,1.665,3.494,completed,0,,none
16.49,7,3,0,1,0,0,0,verified,0,22.112,16.363,2.534,1.741,completed,0,,none
975.08,22,7,4,4,0,0,1,failed,0,1412.925,2164.238,1.304,7.981,completed,1,Off-hour massive transfer; repeated auth failures,high
43.69,11,0,0,0,0,0,1,verified,0,36.823,39.139,2.566,1.889,completed,0,,none
889.17,1,12,5,7,1,1,1,verified,1,1311.218,1320.788,0.904,1.706,blocked,1,Off-hour massive transfer; repeated auth failures,critical
13.45,8,2,0,0,0,0,1,verified,0,19.762,16.993,1.55,2.349,completed,0,,none
503.99,0,6,2,3,1,0,1,verified,0,986.869,924.742,2.168,9.478,integrity_failed,1,Off-hour massive transfer; repeated auth failures,high
25.04,19,1,0,0,0,0,1,verified,0,45.437,34.94,1.818,4.094,completed,0,,none
589.12,23,14,2,10,1,1,1,failed,0,1183.69,1348.602,2.165,9.237,blocked,1,Off-hour massive transfer; repeated auth failures,high
15.58,7,1,0,0,0,0,1,verified,0,27.644,26.192,1.941,1.647,completed,0,,none
43.71,14,1,0,0,0,0,0,verified,0,53.458,36.222,0.738,1.99,completed,0,,none
41.16,9,0,0,1,0,0,0,verified,0,56.184,39.546,1.923,3.839,completed,0,,none
39.7,16,2,0,0,0,0,1,verified,0,39.604,28.003,1.276,3.848,completed,0,,none
15.38,20,3,0,0,0,0,1,verified,0,30.855,25.43,2.348,3.05,completed,0,,none
22.17,18,2,0,1,0,0,0,verified,0,34.01,23.355,1.159,4.017,completed,0,,none
788.23,22,7,4,4,0,0,1,failed,1,1118.584,819.087,1.22,3.427,blocked,1,Off-hour massive transfer; repeated auth failures,high
582.51,1,15,5,8,1,1,1,verified,0,1003.284,1103.947,3.869,9.48,blocked,1,Off-hour massive transfer; repeated auth failures,medium
26.88,19,3,0,0,0,0,0,verified,0,45.431,23.696,2.469,3.811,completed,0,,none
